"","der_activity_month","var_1","name","prop","sector","value"
"1","2018-02-01","East of England","Inpatient admissions","25.0992685475444","Independent Sector","1201"
"2","2018-02-01","East of England","Inpatient admissions","25.0992685475444","NHS","3584"
"3","2018-02-01","East of England","Outpatient appointments","4.47962276860896","Independent Sector","133"
"4","2018-02-01","East of England","Outpatient appointments","4.47962276860896","NHS","2836"
"5","2018-02-01","London","Inpatient admissions","22.0255433564867","Independent Sector","983"
"6","2018-02-01","London","Inpatient admissions","22.0255433564867","NHS","3480"
"7","2018-02-01","London","Outpatient appointments","5.49360892031547","Independent Sector","202"
"8","2018-02-01","London","Outpatient appointments","5.49360892031547","NHS","3475"
"9","2018-02-01","Midlands","Inpatient admissions","28.3330060867858","Independent Sector","2886"
"10","2018-02-01","Midlands","Inpatient admissions","28.3330060867858","NHS","7300"
"11","2018-02-01","Midlands","Outpatient appointments","10.9694733310969","Independent Sector","654"
"12","2018-02-01","Midlands","Outpatient appointments","10.9694733310969","NHS","5308"
"13","2018-02-01","North East and Yorkshire","Inpatient admissions","24.9004705030764","Independent Sector","2064"
"14","2018-02-01","North East and Yorkshire","Inpatient admissions","24.9004705030764","NHS","6225"
"15","2018-02-01","North East and Yorkshire","Outpatient appointments","9.83338778177066","Independent Sector","301"
"16","2018-02-01","North East and Yorkshire","Outpatient appointments","9.83338778177066","NHS","2760"
"17","2018-02-01","North West","Inpatient admissions","25.7401649317291","Independent Sector","1904"
"18","2018-02-01","North West","Inpatient admissions","25.7401649317291","NHS","5493"
"19","2018-02-01","North West","Outpatient appointments","8.75957120980092","Independent Sector","286"
"20","2018-02-01","North West","Outpatient appointments","8.75957120980092","NHS","2979"
"21","2018-02-01","South East","Inpatient admissions","33.172826652785","Independent Sector","2549"
"22","2018-02-01","South East","Inpatient admissions","33.172826652785","NHS","5135"
"23","2018-02-01","South East","Outpatient appointments","17.5993824778078","Independent Sector","456"
"24","2018-02-01","South East","Outpatient appointments","17.5993824778078","NHS","2135"
"25","2018-02-01","South West","Inpatient admissions","32.930932119533","Independent Sector","1664"
"26","2018-02-01","South West","Inpatient admissions","32.930932119533","NHS","3389"
"27","2018-02-01","South West","Outpatient appointments","20.7142857142857","Independent Sector","203"
"28","2018-02-01","South West","Outpatient appointments","20.7142857142857","NHS","777"
"29","2018-03-01","East of England","Inpatient admissions","23.6049107142857","Independent Sector","1269"
"30","2018-03-01","East of England","Inpatient admissions","23.6049107142857","NHS","4107"
"31","2018-03-01","East of England","Outpatient appointments","4.0479274611399","Independent Sector","125"
"32","2018-03-01","East of England","Outpatient appointments","4.0479274611399","NHS","2963"
"33","2018-03-01","London","Inpatient admissions","22.0036877688998","Independent Sector","1074"
"34","2018-03-01","London","Inpatient admissions","22.0036877688998","NHS","3807"
"35","2018-03-01","London","Outpatient appointments","6.91417810061878","Independent Sector","257"
"36","2018-03-01","London","Outpatient appointments","6.91417810061878","NHS","3460"
"37","2018-03-01","Midlands","Inpatient admissions","28.8200788537359","Independent Sector","2997"
"38","2018-03-01","Midlands","Inpatient admissions","28.8200788537359","NHS","7402"
"39","2018-03-01","Midlands","Outpatient appointments","9.67184801381693","Independent Sector","616"
"40","2018-03-01","Midlands","Outpatient appointments","9.67184801381693","NHS","5753"
"41","2018-03-01","North East and Yorkshire","Inpatient admissions","25.5968778696051","Independent Sector","2230"
"42","2018-03-01","North East and Yorkshire","Inpatient admissions","25.5968778696051","NHS","6482"
"43","2018-03-01","North East and Yorkshire","Outpatient appointments","8.71974336541266","Independent Sector","299"
"44","2018-03-01","North East and Yorkshire","Outpatient appointments","8.71974336541266","NHS","3130"
"45","2018-03-01","North West","Inpatient admissions","25.7127978127848","Independent Sector","1975"
"46","2018-03-01","North West","Inpatient admissions","25.7127978127848","NHS","5706"
"47","2018-03-01","North West","Outpatient appointments","7.49446902654867","Independent Sector","271"
"48","2018-03-01","North West","Outpatient appointments","7.49446902654867","NHS","3345"
"49","2018-03-01","South East","Inpatient admissions","34.2660072878709","Independent Sector","2633"
"50","2018-03-01","South East","Inpatient admissions","34.2660072878709","NHS","5051"
"51","2018-03-01","South East","Outpatient appointments","20.3595317725753","Independent Sector","487"
"52","2018-03-01","South East","Outpatient appointments","20.3595317725753","NHS","1905"
"53","2018-03-01","South West","Inpatient admissions","33.9386602098467","Independent Sector","1682"
"54","2018-03-01","South West","Inpatient admissions","33.9386602098467","NHS","3274"
"55","2018-03-01","South West","Outpatient appointments","18.5361216730038","Independent Sector","195"
"56","2018-03-01","South West","Outpatient appointments","18.5361216730038","NHS","857"
"57","2018-04-01","East of England","Inpatient admissions","21.0609974170475","Independent Sector","1060"
"58","2018-04-01","East of England","Inpatient admissions","21.0609974170475","NHS","3973"
"59","2018-04-01","East of England","Outpatient appointments","3.6468330134357","Independent Sector","114"
"60","2018-04-01","East of England","Outpatient appointments","3.6468330134357","NHS","3012"
"61","2018-04-01","London","Inpatient admissions","18.7089947089947","Independent Sector","884"
"62","2018-04-01","London","Inpatient admissions","18.7089947089947","NHS","3841"
"63","2018-04-01","London","Outpatient appointments","5.39139450492483","Independent Sector","208"
"64","2018-04-01","London","Outpatient appointments","5.39139450492483","NHS","3650"
"65","2018-04-01","Midlands","Inpatient admissions","28.0956191238248","Independent Sector","2809"
"66","2018-04-01","Midlands","Inpatient admissions","28.0956191238248","NHS","7189"
"67","2018-04-01","Midlands","Outpatient appointments","9.50059101654846","Independent Sector","643"
"68","2018-04-01","Midlands","Outpatient appointments","9.50059101654846","NHS","6125"
"69","2018-04-01","North East and Yorkshire","Inpatient admissions","22.4024447578749","Independent Sector","1906"
"70","2018-04-01","North East and Yorkshire","Inpatient admissions","22.4024447578749","NHS","6602"
"71","2018-04-01","North East and Yorkshire","Outpatient appointments","10.9100729138536","Independent Sector","404"
"72","2018-04-01","North East and Yorkshire","Outpatient appointments","10.9100729138536","NHS","3299"
"73","2018-04-01","North West","Inpatient admissions","24.2620299231702","Independent Sector","1800"
"74","2018-04-01","North West","Inpatient admissions","24.2620299231702","NHS","5619"
"75","2018-04-01","North West","Outpatient appointments","8.25635103926097","Independent Sector","286"
"76","2018-04-01","North West","Outpatient appointments","8.25635103926097","NHS","3178"
"77","2018-04-01","South East","Inpatient admissions","32.7682083276821","Independent Sector","2416"
"78","2018-04-01","South East","Inpatient admissions","32.7682083276821","NHS","4957"
"79","2018-04-01","South East","Outpatient appointments","14.017907106883","Independent Sector","501"
"80","2018-04-01","South East","Outpatient appointments","14.017907106883","NHS","3073"
"81","2018-04-01","South West","Inpatient admissions","31.8378591105864","Independent Sector","1618"
"82","2018-04-01","South West","Inpatient admissions","31.8378591105864","NHS","3464"
"83","2018-04-01","South West","Outpatient appointments","16.3868904876099","Independent Sector","205"
"84","2018-04-01","South West","Outpatient appointments","16.3868904876099","NHS","1046"
"85","2018-05-01","East of England","Inpatient admissions","19.9313955587651","Independent Sector","1104"
"86","2018-05-01","East of England","Inpatient admissions","19.9313955587651","NHS","4435"
"87","2018-05-01","East of England","Outpatient appointments","5.37985001630258","Independent Sector","165"
