"","der_activity_month","var_1","name","prop","england_IS","england_NHS","england_IS_prop","sector","value"
"1","2018-02-01","East of England","Inpatient admissions","10.5207600281492","8669","43763","16.5337961550198","NHS","5086"
"2","2018-02-01","East of England","Inpatient admissions","10.5207600281492","8669","43763","16.5337961550198","Independent Sector","598"
"3","2018-02-01","East of England","Outpatient appointments","2.77160915613256","3042","202935","1.4768639217","NHS","22767"
"4","2018-02-01","East of England","Outpatient appointments","2.77160915613256","3042","202935","1.4768639217","Independent Sector","649"
"5","2018-02-01","London","Inpatient admissions","4.33477825941981","8669","43763","16.5337961550198","NHS","5738"
"6","2018-02-01","London","Inpatient admissions","4.33477825941981","8669","43763","16.5337961550198","Independent Sector","260"
"7","2018-02-01","London","Outpatient appointments","0.160004923228407","3042","202935","1.4768639217","NHS","32447"
"8","2018-02-01","London","Outpatient appointments","0.160004923228407","3042","202935","1.4768639217","Independent Sector","52"
"9","2018-02-01","Midlands","Inpatient admissions","15.276334435522","8669","43763","16.5337961550198","NHS","8968"
"10","2018-02-01","Midlands","Inpatient admissions","15.276334435522","8669","43763","16.5337961550198","Independent Sector","1617"
"11","2018-02-01","Midlands","Outpatient appointments","1.41496888132347","3042","202935","1.4768639217","NHS","37066"
"12","2018-02-01","Midlands","Outpatient appointments","1.41496888132347","3042","202935","1.4768639217","Independent Sector","532"
"13","2018-02-01","North East and Yorkshire","Inpatient admissions","17.7272727272727","8669","43763","16.5337961550198","NHS","7240"
"14","2018-02-01","North East and Yorkshire","Inpatient admissions","17.7272727272727","8669","43763","16.5337961550198","Independent Sector","1560"
"15","2018-02-01","North East and Yorkshire","Outpatient appointments","1.28868880135059","3042","202935","1.4768639217","NHS","35082"
"16","2018-02-01","North East and Yorkshire","Outpatient appointments","1.28868880135059","3042","202935","1.4768639217","Independent Sector","458"
"17","2018-02-01","North West","Inpatient admissions","32.4107793153678","8669","43763","16.5337961550198","NHS","5568"
"18","2018-02-01","North West","Inpatient admissions","32.4107793153678","8669","43763","16.5337961550198","Independent Sector","2670"
"19","2018-02-01","North West","Outpatient appointments","2.01300712294828","3042","202935","1.4768639217","NHS","22148"
"20","2018-02-01","North West","Outpatient appointments","2.01300712294828","3042","202935","1.4768639217","Independent Sector","455"
"21","2018-02-01","South East","Inpatient admissions","11.2852664576803","8669","43763","16.5337961550198","NHS","6792"
"22","2018-02-01","South East","Inpatient admissions","11.2852664576803","8669","43763","16.5337961550198","Independent Sector","864"
"23","2018-02-01","South East","Outpatient appointments","2.29709485063009","3042","202935","1.4768639217","NHS","33261"
"24","2018-02-01","South East","Outpatient appointments","2.29709485063009","3042","202935","1.4768639217","Independent Sector","782"
"25","2018-02-01","South West","Inpatient admissions","20.1060135258636","8669","43763","16.5337961550198","NHS","4371"
"26","2018-02-01","South West","Inpatient admissions","20.1060135258636","8669","43763","16.5337961550198","Independent Sector","1100"
"27","2018-02-01","South West","Outpatient appointments","0.562185619883618","3042","202935","1.4768639217","NHS","20164"
"28","2018-02-01","South West","Outpatient appointments","0.562185619883618","3042","202935","1.4768639217","Independent Sector","114"
"29","2018-03-01","East of England","Inpatient admissions","11.0675974799932","8559","44597","16.1016630295733","NHS","5223"
"30","2018-03-01","East of England","Inpatient admissions","11.0675974799932","8559","44597","16.1016630295733","Independent Sector","650"
"31","2018-03-01","East of England","Outpatient appointments","2.80542606358406","3594","207528","1.70233324807457","NHS","23143"
"32","2018-03-01","East of England","Outpatient appointments","2.80542606358406","3594","207528","1.70233324807457","Independent Sector","668"
"33","2018-03-01","London","Inpatient admissions","4.58466453674121","8559","44597","16.1016630295733","NHS","5973"
"34","2018-03-01","London","Inpatient admissions","4.58466453674121","8559","44597","16.1016630295733","Independent Sector","287"
"35","2018-03-01","London","Outpatient appointments","0.214854823789204","3594","207528","1.70233324807457","NHS","33439"
"36","2018-03-01","London","Outpatient appointments","0.214854823789204","3594","207528","1.70233324807457","Independent Sector","72"
"37","2018-03-01","Midlands","Inpatient admissions","13.7868868014043","8559","44597","16.1016630295733","NHS","9086"
"38","2018-03-01","Midlands","Inpatient admissions","13.7868868014043","8559","44597","16.1016630295733","Independent Sector","1453"
"39","2018-03-01","Midlands","Outpatient appointments","1.36222273626854","3594","207528","1.70233324807457","NHS","38377"
"40","2018-03-01","Midlands","Outpatient appointments","1.36222273626854","3594","207528","1.70233324807457","Independent Sector","530"
"41","2018-03-01","North East and Yorkshire","Inpatient admissions","15.9066232356135","8559","44597","16.1016630295733","NHS","7745"
"42","2018-03-01","North East and Yorkshire","Inpatient admissions","15.9066232356135","8559","44597","16.1016630295733","Independent Sector","1465"
"43","2018-03-01","North East and Yorkshire","Outpatient appointments","1.3046835476742","3594","207528","1.70233324807457","NHS","37067"
"44","2018-03-01","North East and Yorkshire","Outpatient appointments","1.3046835476742","3594","207528","1.70233324807457","Independent Sector","490"
"45","2018-03-01","North West","Inpatient admissions","31.6150802885734","8559","44597","16.1016630295733","NHS","5877"
"46","2018-03-01","North West","Inpatient admissions","31.6150802885734","8559","44597","16.1016630295733","Independent Sector","2717"
"47","2018-03-01","North West","Outpatient appointments","2.74051995363471","3594","207528","1.70233324807457","NHS","23494"
"48","2018-03-01","North West","Outpatient appointments","2.74051995363471","3594","207528","1.70233324807457","Independent Sector","662"
"49","2018-03-01","South East","Inpatient admissions","14.7609427609428","8559","44597","16.1016630295733","NHS","6329"
"50","2018-03-01","South East","Inpatient admissions","14.7609427609428","8559","44597","16.1016630295733","Independent Sector","1096"
"51","2018-03-01","South East","Outpatient appointments","3.08549964226091","3594","207528","1.70233324807457","NHS","32509"
"52","2018-03-01","South East","Outpatient appointments","3.08549964226091","3594","207528","1.70233324807457","Independent Sector","1035"
"53","2018-03-01","South West","Inpatient admissions","16.9552806850618","8559","44597","16.1016630295733","NHS","4364"
"54","2018-03-01","South West","Inpatient admissions","16.9552806850618","8559","44597","16.1016630295733","Independent Sector","891"
"55","2018-03-01","South West","Outpatient appointments","0.697698105520473","3594","207528","1.70233324807457","NHS","19499"
"56","2018-03-01","South West","Outpatient appointments","0.697698105520473","3594","207528","1.70233324807457","Independent Sector","137"
"57","2018-04-01","East of England","Inpatient admissions","9.49982632858632","8362","44616","15.7839103023897","NHS","5211"
"58","2018-04-01","East of England","Inpatient admissions","9.49982632858632","8362","44616","15.7839103023897","Independent Sector","547"
"59","2018-04-01","East of England","Outpatient appointments","2.13854208618607","4180","209509","1.95611379153817","NHS","24299"
"60","2018-04-01","East of England","Outpatient appointments","2.13854208618607","4180","209509","1.95611379153817","Independent Sector","531"
"61","2018-04-01","London","Inpatient admissions","4.99918580035825","8362","44616","15.7839103023897","NHS","5834"
"62","2018-04-01","London","Inpatient admissions","4.99918580035825","8362","44616","15.7839103023897","Independent Sector","307"
"63","2018-04-01","London","Outpatient appointments","0.146792159571712","4180","209509","1.95611379153817","NHS","34692"
"64","2018-04-01","London","Outpatient appointments","0.146792159571712","4180","209509","1.95611379153817","Independent Sector","51"
"65","2018-04-01","Midlands","Inpatient admissions","14.7053320860617","8362","44616","15.7839103023897","NHS","9118"
"66","2018-04-01","Midlands","Inpatient admissions","14.7053320860617","8362","44616","15.7839103023897","Independent Sector","1572"
"67","2018-04-01","Midlands","Outpatient appointments","1.6176592167994","4180","209509","1.95611379153817","NHS","35700"
"68","2018-04-01","Midlands","Outpatient appointments","1.6176592167994","4180","209509","1.95611379153817","Independent Sector","587"
"69","2018-04-01","North East and Yorkshire","Inpatient admissions","15.2839372633856","8362","44616","15.7839103023897","NHS","7832"
"70","2018-04-01","North East and Yorkshire","Inpatient admissions","15.2839372633856","8362","44616","15.7839103023897","Independent Sector","1413"
"71","2018-04-01","North East and Yorkshire","Outpatient appointments","1.61765095865708","4180","209509","1.95611379153817","NHS","37099"
"72","2018-04-01","North East and Yorkshire","Outpatient appointments","1.61765095865708","4180","209509","1.95611379153817","Independent Sector","610"
"73","2018-04-01","North West","Inpatient admissions","28.9467100325244","8362","44616","15.7839103023897","NHS","5680"
"74","2018-04-01","North West","Inpatient admissions","28.9467100325244","8362","44616","15.7839103023897","Independent Sector","2314"
"75","2018-04-01","North West","Outpatient appointments","4.42610349152405","4180","209509","1.95611379153817","NHS","23623"
"76","2018-04-01","North West","Outpatient appointments","4.42610349152405","4180","209509","1.95611379153817","Independent Sector","1094"
"77","2018-04-01","South East","Inpatient admissions","12.2170747849107","8362","44616","15.7839103023897","NHS","6632"
"78","2018-04-01","South East","Inpatient admissions","12.2170747849107","8362","44616","15.7839103023897","Independent Sector","923"
"79","2018-04-01","South East","Outpatient appointments","3.56018115833358","4180","209509","1.95611379153817","NHS","32154"
"80","2018-04-01","South East","Outpatient appointments","3.56018115833358","4180","209509","1.95611379153817","Independent Sector","1187"
"81","2018-04-01","South West","Inpatient admissions","22.9848078641644","8362","44616","15.7839103023897","NHS","4309"
"82","2018-04-01","South West","Inpatient admissions","22.9848078641644","8362","44616","15.7839103023897","Independent Sector","1286"
"83","2018-04-01","South West","Outpatient appointments","0.54392167527876","4180","209509","1.95611379153817","NHS","21942"
"84","2018-04-01","South West","Outpatient appointments","0.54392167527876","4180","209509","1.95611379153817","Independent Sector","120"
"85","2018-05-01","East of England","Inpatient admissions","7.87681832250077","9108","47767","16.0140659340659","NHS","5953"
"86","2018-05-01","East of England","Inpatient admissions","7.87681832250077","9108","47767","16.0140659340659","Independent Sector","509"
"87","2018-05-01","East of England","Outpatient appointments","2.63539921831379","4434","225989","1.92428707203708","NHS","26157"
"88","2018-05-01","East of England","Outpatient appointments","2.63539921831379","4434","225989","1.92428707203708","Independent Sector","708"
"89","2018-05-01","London","Inpatient admissions","4.85451761102603","9108","47767","16.0140659340659","NHS","6213"
"90","2018-05-01","London","Inpatient admissions","4.85451761102603","9108","47767","16.0140659340659","Independent Sector","317"
"91","2018-05-01","London","Outpatient appointments","0.200819560910744","4434","225989","1.92428707203708","NHS","36775"
"92","2018-05-01","London","Outpatient appointments","0.200819560910744","4434","225989","1.92428707203708","Independent Sector","74"
"93","2018-05-01","Midlands","Inpatient admissions","15.9448643841707","9108","47767","16.0140659340659","NHS","9452"
"94","2018-05-01","Midlands","Inpatient admissions","15.9448643841707","9108","47767","16.0140659340659","Independent Sector","1793"
"95","2018-05-01","Midlands","Outpatient appointments","1.33031418058307","4434","225989","1.92428707203708","NHS","41832"
"96","2018-05-01","Midlands","Outpatient appointments","1.33031418058307","4434","225989","1.92428707203708","Independent Sector","564"
"97","2018-05-01","North East and Yorkshire","Inpatient admissions","15.6687128912147","9108","47767","16.0140659340659","NHS","8380"
"98","2018-05-01","North East and Yorkshire","Inpatient admissions","15.6687128912147","9108","47767","16.0140659340659","Independent Sector","1557"
"99","2018-05-01","North East and Yorkshire","Outpatient appointments","1.89183061692319","4434","225989","1.92428707203708","NHS","38946"
"100","2018-05-01","North East and Yorkshire","Outpatient appointments","1.89183061692319","4434","225989","1.92428707203708","Independent Sector","751"
"101","2018-05-01","North West","Inpatient admissions","29.4574569789675","9108","47767","16.0140659340659","NHS","5903"
"102","2018-05-01","North West","Inpatient admissions","29.4574569789675","9108","47767","16.0140659340659","Independent Sector","2465"
"103","2018-05-01","North West","Outpatient appointments","4.35252353758296","4434","225989","1.92428707203708","NHS","24788"
"104","2018-05-01","North West","Outpatient appointments","4.35252353758296","4434","225989","1.92428707203708","Independent Sector","1128"
"105","2018-05-01","South East","Inpatient admissions","12.7006949436856","9108","47767","16.0140659340659","NHS","7286"
"106","2018-05-01","South East","Inpatient admissions","12.7006949436856","9108","47767","16.0140659340659","Independent Sector","1060"
"107","2018-05-01","South East","Outpatient appointments","2.96389237418096","4434","225989","1.92428707203708","NHS","34802"
"108","2018-05-01","South East","Outpatient appointments","2.96389237418096","4434","225989","1.92428707203708","Independent Sector","1063"
"109","2018-05-01","South West","Inpatient admissions","23.5009186570904","9108","47767","16.0140659340659","NHS","4580"
"110","2018-05-01","South West","Inpatient admissions","23.5009186570904","9108","47767","16.0140659340659","Independent Sector","1407"
"111","2018-05-01","South West","Outpatient appointments","0.639369389095686","4434","225989","1.92428707203708","NHS","22689"
"112","2018-05-01","South West","Outpatient appointments","0.639369389095686","4434","225989","1.92428707203708","Independent Sector","146"
"113","2018-06-01","East of England","Inpatient admissions","9.71402632773491","9415","47848","16.4416813649302","NHS","5967"
"114","2018-06-01","East of England","Inpatient admissions","9.71402632773491","9415","47848","16.4416813649302","Independent Sector","642"
"115","2018-06-01","East of England","Outpatient appointments","2.95932900775439","4735","226185","2.05049367746406","NHS","24528"
"116","2018-06-01","East of England","Outpatient appointments","2.95932900775439","4735","226185","2.05049367746406","Independent Sector","748"
"117","2018-06-01","London","Inpatient admissions","4.14867365823566","9415","47848","16.4416813649302","NHS","6215"
"118","2018-06-01","London","Inpatient admissions","4.14867365823566","9415","47848","16.4416813649302","Independent Sector","269"
"119","2018-06-01","London","Outpatient appointments","0.165945754781142","4735","226185","2.05049367746406","NHS","36698"
"120","2018-06-01","London","Outpatient appointments","0.165945754781142","4735","226185","2.05049367746406","Independent Sector","61"
"121","2018-06-01","Midlands","Inpatient admissions","15.7455408136368","9415","47848","16.4416813649302","NHS","9589"
"122","2018-06-01","Midlands","Inpatient admissions","15.7455408136368","9415","47848","16.4416813649302","Independent Sector","1792"
"123","2018-06-01","Midlands","Outpatient appointments","1.16177270898895","4735","226185","2.05049367746406","NHS","41772"
"124","2018-06-01","Midlands","Outpatient appointments","1.16177270898895","4735","226185","2.05049367746406","Independent Sector","491"
"125","2018-06-01","North East and Yorkshire","Inpatient admissions","16.3847564703485","9415","47848","16.4416813649302","NHS","8206"
"126","2018-06-01","North East and Yorkshire","Inpatient admissions","16.3847564703485","9415","47848","16.4416813649302","Independent Sector","1608"
"127","2018-06-01","North East and Yorkshire","Outpatient appointments","1.79733653749875","4735","226185","2.05049367746406","NHS","39230"
"128","2018-06-01","North East and Yorkshire","Outpatient appointments","1.79733653749875","4735","226185","2.05049367746406","Independent Sector","718"
"129","2018-06-01","North West","Inpatient admissions","29.7055057618438","9415","47848","16.4416813649302","NHS","6039"
"130","2018-06-01","North West","Inpatient admissions","29.7055057618438","9415","47848","16.4416813649302","Independent Sector","2552"
"131","2018-06-01","North West","Outpatient appointments","4.69780641202638","4735","226185","2.05049367746406","NHS","24851"
"132","2018-06-01","North West","Outpatient appointments","4.69780641202638","4735","226185","2.05049367746406","Independent Sector","1225"
"133","2018-06-01","South East","Inpatient admissions","13.4702651062813","9415","47848","16.4416813649302","NHS","7246"
"134","2018-06-01","South East","Inpatient admissions","13.4702651062813","9415","47848","16.4416813649302","Independent Sector","1128"
"135","2018-06-01","South East","Outpatient appointments","3.6171186942821","4735","226185","2.05049367746406","NHS","35786"
"136","2018-06-01","South East","Outpatient appointments","3.6171186942821","4735","226185","2.05049367746406","Independent Sector","1343"
"137","2018-06-01","South West","Inpatient admissions","23.69384359401","9415","47848","16.4416813649302","NHS","4586"
"138","2018-06-01","South West","Inpatient admissions","23.69384359401","9415","47848","16.4416813649302","Independent Sector","1424"
"139","2018-06-01","South West","Outpatient appointments","0.634880054540031","4735","226185","2.05049367746406","NHS","23320"
"140","2018-06-01","South West","Outpatient appointments","0.634880054540031","4735","226185","2.05049367746406","Independent Sector","149"
