"","der_activity_month","var_1","name","prop","england_IS","england_NHS","england_IS_prop","sector","value"
"1","2018-02-01","East of England","Inpatient admissions","25.0992685475444","13251","34606","27.6887393693713","NHS","3584"
"2","2018-02-01","East of England","Inpatient admissions","25.0992685475444","13251","34606","27.6887393693713","Independent Sector","1201"
"3","2018-02-01","East of England","Outpatient appointments","4.47962276860896","2235","20270","9.93112641635192","NHS","2836"
"4","2018-02-01","East of England","Outpatient appointments","4.47962276860896","2235","20270","9.93112641635192","Independent Sector","133"
"5","2018-02-01","London","Inpatient admissions","22.0255433564867","13251","34606","27.6887393693713","NHS","3480"
"6","2018-02-01","London","Inpatient admissions","22.0255433564867","13251","34606","27.6887393693713","Independent Sector","983"
"7","2018-02-01","London","Outpatient appointments","5.49360892031547","2235","20270","9.93112641635192","NHS","3475"
"8","2018-02-01","London","Outpatient appointments","5.49360892031547","2235","20270","9.93112641635192","Independent Sector","202"
"9","2018-02-01","Midlands","Inpatient admissions","28.3330060867858","13251","34606","27.6887393693713","NHS","7300"
"10","2018-02-01","Midlands","Inpatient admissions","28.3330060867858","13251","34606","27.6887393693713","Independent Sector","2886"
"11","2018-02-01","Midlands","Outpatient appointments","10.9694733310969","2235","20270","9.93112641635192","NHS","5308"
"12","2018-02-01","Midlands","Outpatient appointments","10.9694733310969","2235","20270","9.93112641635192","Independent Sector","654"
"13","2018-02-01","North East and Yorkshire","Inpatient admissions","24.9004705030764","13251","34606","27.6887393693713","NHS","6225"
"14","2018-02-01","North East and Yorkshire","Inpatient admissions","24.9004705030764","13251","34606","27.6887393693713","Independent Sector","2064"
"15","2018-02-01","North East and Yorkshire","Outpatient appointments","9.83338778177066","2235","20270","9.93112641635192","NHS","2760"
"16","2018-02-01","North East and Yorkshire","Outpatient appointments","9.83338778177066","2235","20270","9.93112641635192","Independent Sector","301"
"17","2018-02-01","North West","Inpatient admissions","25.7401649317291","13251","34606","27.6887393693713","NHS","5493"
"18","2018-02-01","North West","Inpatient admissions","25.7401649317291","13251","34606","27.6887393693713","Independent Sector","1904"
"19","2018-02-01","North West","Outpatient appointments","8.75957120980092","2235","20270","9.93112641635192","NHS","2979"
"20","2018-02-01","North West","Outpatient appointments","8.75957120980092","2235","20270","9.93112641635192","Independent Sector","286"
"21","2018-02-01","South East","Inpatient admissions","33.172826652785","13251","34606","27.6887393693713","NHS","5135"
"22","2018-02-01","South East","Inpatient admissions","33.172826652785","13251","34606","27.6887393693713","Independent Sector","2549"
"23","2018-02-01","South East","Outpatient appointments","17.5993824778078","2235","20270","9.93112641635192","NHS","2135"
"24","2018-02-01","South East","Outpatient appointments","17.5993824778078","2235","20270","9.93112641635192","Independent Sector","456"
"25","2018-02-01","South West","Inpatient admissions","32.930932119533","13251","34606","27.6887393693713","NHS","3389"
"26","2018-02-01","South West","Inpatient admissions","32.930932119533","13251","34606","27.6887393693713","Independent Sector","1664"
"27","2018-02-01","South West","Outpatient appointments","20.7142857142857","2235","20270","9.93112641635192","NHS","777"
