"","der_activity_month","type","speciality","name","value"
"1","2018-02-01","Independent Sector","Orthopaedic","Inpatient admissions","13529"
"2","2018-02-01","Independent Sector","Orthopaedic","Outpatient appointments","2235"
"3","2018-02-01","Independent Sector","Orthopaedic","Cost (£)","52622030.67"
"4","2018-02-01","NHS","Orthopaedic","Inpatient admissions","35482"
"5","2018-02-01","NHS","Orthopaedic","Outpatient appointments","20270"
"6","2018-02-01","NHS","Orthopaedic","Cost (£)","119094269.647057"
"7","2018-03-01","Independent Sector","Orthopaedic","Inpatient admissions","14144"
"8","2018-03-01","Independent Sector","Orthopaedic","Outpatient appointments","2250"
"9","2018-03-01","Independent Sector","Orthopaedic","Cost (£)","55652994.27"
"10","2018-03-01","NHS","Orthopaedic","Inpatient admissions","36795"
"11","2018-03-01","NHS","Orthopaedic","Outpatient appointments","21413"
"12","2018-03-01","NHS","Orthopaedic","Cost (£)","126860027.429675"
"13","2018-04-01","Independent Sector","Orthopaedic","Inpatient admissions","12741"
"14","2018-04-01","Independent Sector","Orthopaedic","Outpatient appointments","2361"
"15","2018-04-01","Independent Sector","Orthopaedic","Cost (£)","49759223.51"
"16","2018-04-01","NHS","Orthopaedic","Inpatient admissions","36463"
"17","2018-04-01","NHS","Orthopaedic","Outpatient appointments","23383"
"18","2018-04-01","NHS","Orthopaedic","Cost (£)","127264426.525135"
"19","2018-05-01","Independent Sector","Orthopaedic","Inpatient admissions","13056"
"20","2018-05-01","Independent Sector","Orthopaedic","Outpatient appointments","2546"
"21","2018-05-01","Independent Sector","Orthopaedic","Cost (£)","50800648.85"
"22","2018-05-01","NHS","Orthopaedic","Inpatient admissions","39719"
"23","2018-05-01","NHS","Orthopaedic","Outpatient appointments","27154"
"24","2018-05-01","NHS","Orthopaedic","Cost (£)","144056960.293969"
"25","2018-06-01","Independent Sector","Orthopaedic","Inpatient admissions","12696"
"26","2018-06-01","Independent Sector","Orthopaedic","Outpatient appointments","2407"
"27","2018-06-01","Independent Sector","Orthopaedic","Cost (£)","49560327.95"
"28","2018-06-01","NHS","Orthopaedic","Inpatient admissions","38773"
"29","2018-06-01","NHS","Orthopaedic","Outpatient appointments","26603"
"30","2018-06-01","NHS","Orthopaedic","Cost (£)","138220893.548723"
"31","2018-07-01","Independent Sector","Orthopaedic","Inpatient admissions","12624"
"32","2018-07-01","Independent Sector","Orthopaedic","Outpatient appointments","2462"
"33","2018-07-01","Independent Sector","Orthopaedic","Cost (£)","49569320.05"
"34","2018-07-01","NHS","Orthopaedic","Inpatient admissions","39167"
"35","2018-07-01","NHS","Orthopaedic","Outpatient appointments","26847"
"36","2018-07-01","NHS","Orthopaedic","Cost (£)","141559706.810933"
"37","2018-08-01","Independent Sector","Orthopaedic","Inpatient admissions","12061"
"38","2018-08-01","Independent Sector","Orthopaedic","Outpatient appointments","2484"
"39","2018-08-01","Independent Sector","Orthopaedic","Cost (£)","47636345.98"
"40","2018-08-01","NHS","Orthopaedic","Inpatient admissions","36591"
"41","2018-08-01","NHS","Orthopaedic","Outpatient appointments","24741"
"42","2018-08-01","NHS","Orthopaedic","Cost (£)","129453058.665401"
"43","2018-09-01","Independent Sector","Orthopaedic","Inpatient admissions","13139"
"44","2018-09-01","Independent Sector","Orthopaedic","Outpatient appointments","2381"
"45","2018-09-01","Independent Sector","Orthopaedic","Cost (£)","52427159.58"
"46","2018-09-01","NHS","Orthopaedic","Inpatient admissions","36434"
"47","2018-09-01","NHS","Orthopaedic","Outpatient appointments","22585"
"48","2018-09-01","NHS","Orthopaedic","Cost (£)","130551117.588998"
"49","2018-10-01","Independent Sector","Orthopaedic","Inpatient admissions","14198"
"50","2018-10-01","Independent Sector","Orthopaedic","Outpatient appointments","2697"
"51","2018-10-01","Independent Sector","Orthopaedic","Cost (£)","56648753.11"
"52","2018-10-01","NHS","Orthopaedic","Inpatient admissions","42063"
"53","2018-10-01","NHS","Orthopaedic","Outpatient appointments","26845"
"54","2018-10-01","NHS","Orthopaedic","Cost (£)","148480344.953003"
"55","2018-11-01","Independent Sector","Orthopaedic","Inpatient admissions","14413"
"56","2018-11-01","Independent Sector","Orthopaedic","Outpatient appointments","2531"
"57","2018-11-01","Independent Sector","Orthopaedic","Cost (£)","57723977.407205"
"58","2018-11-01","NHS","Orthopaedic","Inpatient admissions","42474"
"59","2018-11-01","NHS","Orthopaedic","Outpatient appointments","24399"
"60","2018-11-01","NHS","Orthopaedic","Cost (£)","148946362.995293"
"61","2018-12-01","Independent Sector","Orthopaedic","Inpatient admissions","11332"
"62","2018-12-01","Independent Sector","Orthopaedic","Outpatient appointments","1942"
"63","2018-12-01","Independent Sector","Orthopaedic","Cost (£)","45618663.28"
"64","2018-12-01","NHS","Orthopaedic","Inpatient admissions","34026"
"65","2018-12-01","NHS","Orthopaedic","Outpatient appointments","20226"
