"","year","var_1","name","sector","value","prop"
"1","2018","0-50","Inpatient admissions","Independent Sector","20551","41.107755085712"
"2","2018","0-50","Inpatient admissions","NHS","234853","49.1946920265189"
"3","2018","0-50","Outpatient appointments","Independent Sector","10394","33.1377925141873"
"4","2018","0-50","Outpatient appointments","NHS","339072","28.5061653561379"
"5","2018","50-100","Inpatient admissions","Independent Sector","16245","32.4945492368932"
"6","2018","50-100","Inpatient admissions","NHS","127563","26.7206401407639"
"7","2018","50-100","Outpatient appointments","Independent Sector","6564","20.9271185359944"
"8","2018","50-100","Outpatient appointments","NHS","208513","17.5299230160685"
"9","2018","100-150","Inpatient admissions","Independent Sector","8338","16.6783349668954"
"10","2018","100-150","Inpatient admissions","NHS","64079","13.4226374385991"
"11","2018","100-150","Outpatient appointments","Independent Sector","3995","12.7367212905694"
"12","2018","100-150","Outpatient appointments","NHS","136604","11.484452306029"
"13","2018","150-200","Inpatient admissions","Independent Sector","2904","5.80881323385274"
"14","2018","150-200","Inpatient admissions","NHS","29545","6.18879544192964"
"15","2018","150-200","Outpatient appointments","Independent Sector","2548","8.12344576930434"
"16","2018","150-200","Outpatient appointments","NHS","102175","8.58996745606653"
"17","2018","200-250","Inpatient admissions","Independent Sector","1208","2.41633828736023"
"18","2018","200-250","Inpatient admissions","NHS","12384","2.59407827899329"
"19","2018","200-250","Outpatient appointments","Independent Sector","2000","6.37633105910859"
"20","2018","200-250","Outpatient appointments","NHS","85856","7.21801072579445"
"21","2018","250-300","Inpatient admissions","Independent Sector","438","0.876122657172004"
"22","2018","250-300","Inpatient admissions","NHS","4885","1.02326165963196"
"23","2018","250-300","Outpatient appointments","Independent Sector","1622","5.17120448893707"
"24","2018","250-300","Outpatient appointments","NHS","74510","6.26413971276259"
"25","2018","300-350","Inpatient admissions","Independent Sector","158","0.316044246194467"
"26","2018","300-350","Inpatient admissions","NHS","2474","0.518229139391908"
"27","2018","300-350","Outpatient appointments","Independent Sector","1298","4.13823885736147"
"28","2018","300-350","Outpatient appointments","NHS","66370","5.57980073461351"
"29","2018","350-400","Inpatient admissions","Independent Sector","102","0.20402856399896"
"30","2018","350-400","Inpatient admissions","NHS","957","0.200462929021041"
"31","2018","350-400","Outpatient appointments","Independent Sector","1087","3.46553593062552"
"32","2018","350-400","Outpatient appointments","NHS","63302","5.32187051533079"
"33","2018","400-450","Inpatient admissions","Independent Sector","27","0.0540075610585482"
"34","2018","400-450","Inpatient admissions","NHS","402","0.0842069983975534"
"35","2018","400-450","Outpatient appointments","Independent Sector","969","3.08933239813811"
"36","2018","400-450","Outpatient appointments","NHS","58443","4.91336890662977"
"37","2018","450-500","Inpatient admissions","Independent Sector","22","0.0440061608625208"
"38","2018","450-500","Inpatient admissions","NHS","253","0.0529959467526891"
"39","2018","450-500","Outpatient appointments","Independent Sector","889","2.83427915577377"
"40","2018","450-500","Outpatient appointments","NHS","54624","4.59230127056695"
"41","2019","0-50","Inpatient admissions","Independent Sector","22930","39.2657157045739"
"42","2019","0-50","Inpatient admissions","NHS","251403","47.656174471836"
"43","2019","0-50","Outpatient appointments","Independent Sector","18494","39.3112976936975"
"44","2019","0-50","Outpatient appointments","NHS","382434","27.9745764137646"
"45","2019","50-100","Inpatient admissions","Independent Sector","19228","32.926348956282"
"46","2019","50-100","Inpatient admissions","NHS","137255","26.0181788886045"
"47","2019","50-100","Outpatient appointments","Independent Sector","9598","20.4017430120098"
"48","2019","50-100","Outpatient appointments","NHS","237909","17.4027505400208"
"49","2019","100-150","Inpatient admissions","Independent Sector","8958","15.33982910081"
"50","2019","100-150","Inpatient admissions","NHS","72075","13.6626005857431"
"51","2019","100-150","Outpatient appointments","Independent Sector","5075","10.7875438410033"
"52","2019","100-150","Outpatient appointments","NHS","162658","11.898232506289"
"53","2019","150-200","Inpatient admissions","Independent Sector","3737","6.39930133397264"
"54","2019","150-200","Inpatient admissions","NHS","34934","6.62211985934583"
"55","2019","150-200","Outpatient appointments","Independent Sector","3061","6.50653629503667"
"56","2019","150-200","Outpatient appointments","NHS","121487","8.886624528099"
"57","2019","200-250","Inpatient admissions","Independent Sector","2111","3.61491172491738"
"58","2019","200-250","Inpatient admissions","NHS","17500","3.31731543878605"
"59","2019","200-250","Outpatient appointments","Independent Sector","2250","4.78265490487831"
"60","2019","200-250","Outpatient appointments","NHS","100703","7.3663005083108"
"61","2019","250-300","Inpatient admissions","Independent Sector","988","1.69186773293149"
"62","2019","250-300","Inpatient admissions","NHS","8961","1.69865506554067"
"63","2019","250-300","Outpatient appointments","Independent Sector","1723","3.6624508449357"
"64","2019","250-300","Outpatient appointments","NHS","88759","6.49261160856338"
"65","2019","300-350","Inpatient admissions","Independent Sector","281","0.481189102179906"
"66","2019","300-350","Inpatient admissions","NHS","3740","0.708957699489133"
"67","2019","300-350","Outpatient appointments","Independent Sector","1647","3.50090339037092"
"68","2019","300-350","Outpatient appointments","NHS","76925","5.62696907343186"
"69","2019","350-400","Inpatient admissions","Independent Sector","79","0.135280921965169"
"70","2019","350-400","Inpatient admissions","NHS","1019","0.193162538978456"
"71","2019","350-400","Outpatient appointments","Independent Sector","1962","4.17047507705388"
"72","2019","350-400","Outpatient appointments","NHS","70531","5.15925584294081"
"73","2019","400-450","Inpatient admissions","Independent Sector","55","0.0941829203554977"
"74","2019","400-450","Inpatient admissions","NHS","407","0.0771512790620528"
"75","2019","400-450","Outpatient appointments","Independent Sector","1673","3.55616962482729"
"76","2019","400-450","Outpatient appointments","NHS","65672","4.80382597322609"
"77","2019","450-500","Inpatient admissions","Independent Sector","30","0.0513725020120897"
"78","2019","450-500","Inpatient admissions","NHS","241","0.0456841726141393"
"79","2019","450-500","Outpatient appointments","Independent Sector","1562","3.32022531618663"
"80","2019","450-500","Outpatient appointments","NHS","59999","4.38885300535376"
"81","2020","0-50","Inpatient admissions","Independent Sector","12557","41.6001325161504"
"82","2020","0-50","Inpatient admissions","NHS","157943","48.5469092429174"
"83","2020","0-50","Outpatient appointments","Independent Sector","23186","41.3062067982612"
"84","2020","0-50","Outpatient appointments","NHS","286205","32.2531024192785"
"85","2020","50-100","Inpatient admissions","Independent Sector","7810","25.8737783667384"
